SMILES,DB.Number,M.Wt.,Formula,Name,InChI Code,Model_Enthalpy,Model+Measured_Enthalpy,Model_Entropy,Model+Measured_entropy,C,H,As,B,Br,Cl,F,Ge,I,N,O,P,S,Se,Si,PM6 Entropy 298K,PM7 Enthalpy 298K,"PM7 H-Ho (300 K), kCal/mol","PM7 H-Ho (400 K), kCal/mol","PM7 H-Ho (500 K), kCal/mol","PM7 H-Ho (600 K), kCal/mol","PM7 H-Ho (700 K), kCal/mol","PM7 H-Ho (800 K), kCal/mol","PM7 H-Ho (900 K), kCal/mol","PM7 H-Ho (1000 K), kCal/mol","PM7 H-Ho (1100 K), kCal/mol","PM7 H-Ho (1200 K), kCal/mol","PM7 H-Ho (1300 K), kCal/mol","PM7 H-Ho (1400 K), kCal/mol","PM7 H-Ho (1500 K), kCal/mol","PM7 S-So (300 K), Cal/mol/K","PM7 S-So (400 K), Cal/mol/K","PM7 S-So (500 K), Cal/mol/K","PM7 S-So (600 K), Cal/mol/K","PM7 S-So (700 K), Cal/mol/K","PM7 S-So (800 K), Cal/mol/K","PM7 S-So (900 K), Cal/mol/K","PM7 S-So (1000 K), Cal/mol/K","PM7 S-So (1100 K), Cal/mol/K","PM7 S-So (1200 K), Cal/mol/K","PM7 S-So (1300 K), Cal/mol/K","PM7 S-So (1400 K), Cal/mol/K","PM7 S-So (1500 K), Cal/mol/K",DG (298K),DG   (300K),DG (400K),DG (500K),DG (600K),DG (700K),DG (800K),DG (900K),DG (1000K),DG (1100K),DG (1200K),DG (1300K),DG (1400K),DG (1500K)
C(C)(CF)(CC),2926,90.1414,C5H11F,1-fluoro-2-methylbutane,"InChI=1S/C5H11F/c1-3-5(2)4-6/h5H,3-4H2,1-2H3",-343.5,-343.5,374.6,375.2405,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,88.7831,-73.61,0.058,3.365,7.505,12.401,17.946,24.044,30.611,37.574,44.874,52.46,60.29,68.328,76.545,0.193,9.647,18.853,27.759,36.296,44.431,52.16,59.493,66.448,73.047,79.314,85.27,90.938,-202.368988,-201.419582,-152.620484,-101.78337,-49.687692,3.153634,56.409356,109.86336,163.36108,216.805816,270.127048,323.285424,376.2663,429.04984
C(C)(C)(CCF),2927,90.1414,C5H11F,1-fluoro-3-methylbutane,"InChI=1S/C5H11F/c1-5(2)3-4-6/h5H,3-4H2,1-2H3",-347,-347,370.9,375.2405,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,87.7977,-74.466,0.058,3.373,7.519,12.419,17.968,24.068,30.636,37.6,44.901,52.489,60.319,68.358,76.576,0.193,9.672,18.891,27.805,36.347,44.485,52.216,59.55,66.506,73.106,79.373,85.33,90.999,-205.868988,-204.919582,-156.128844,-105.30427,-53.22782,-0.403632,52.8291,106.257188,159.7315,213.151992,266.452324,319.586038,372.54058,425.29695
C(C)(CCCF),2928,90.1414,C5H11F,1-fluoropentane,"InChI=1S/C5H11F/c1-2-3-4-5-6/h2-5H2,1H3",-345.6,-345.6,369.7,386.2705,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,87.4971,-74.127,0.056,3.29,7.363,12.202,17.701,23.761,30.295,37.232,44.509,52.076,59.89,67.914,76.118,0.188,9.433,18.488,27.291,35.756,43.84,51.531,58.836,65.77,72.352,78.605,84.551,90.211,-207.755928,-206.830672,-159.088176,-109.22908,-58.063768,-6.111426,46.27872,98.881778,151.54778,204.16456,256.672048,309.02713,361.201368,413.17827
C(F)(C)(C)(CC),2929,90.1414,C5H11F,2-fluoro-2-methylbutane,"InChI=1S/C5H11F/c1-4-5(2,3)6/h4H2,1-3H3",-387.3,-387.3,367.3,345.8905,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,86.8576,-84.225,0.06,3.49,7.747,12.742,18.368,24.532,31.151,38.157,45.492,53.108,60.963,69.023,77.258,0.2,10.01,19.476,28.564,37.226,45.449,53.24,60.618,67.607,74.232,80.518,86.49,92.171,-237.422688,-236.415,-184.76492,-131.19888,-76.471252,-21.058586,34.725004,90.6726,146.64552,202.544974,258.311728,313.911028,369.32196,424.52427
C(C)(C)(C(F)C),2930,90.1414,C5H11F,2-fluoro-3-methylbutane,"InChI=1S/C5H11F/c1-4(2)5(3)6/h4-5H,1-3H3",-367.5,-367.5,366.8,365.7105,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,86.7464,-79.385,0.059,3.44,7.648,12.6,18.191,24.326,30.923,37.91,45.23,52.834,60.678,68.728,76.956,0.197,9.865,19.222,28.232,36.84,45.024,52.789,60.148,67.122,73.736,80.014,85.979,91.655,-223.529048,-222.561418,-172.85948,-121.19184,-68.324156,-14.74301,39.229124,93.378222,147.55766,201.677844,255.670344,309.492464,363.131232,416.56723
C(C)(CC(F)C),2931,90.1414,C5H11F,2-fluoropentane,"InChI=1S/C5H11F/c1-3-4-5(2)6/h5H,3-4H2,1-2H3",-367.9,-367.9,370.8,375.2405,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,87.7732,-79.49,0.058,3.372,7.52,12.422,17.973,24.074,30.643,37.608,44.909,52.496,60.326,68.364,76.581,0.193,9.669,18.891,27.81,36.355,44.495,52.227,59.562,66.518,73.118,79.384,85.34,91.008,-226.768988,-225.819582,-177.028008,-126.20009,-74.12782,-21.30614,31.92074,85.345066,138.81478,192.230256,245.521392,298.655524,351.60714,404.36142
C(C)(C(F)CC),2932,90.1414,C5H11F,3-fluoropentane,"InChI=1S/C5H11F/c1-3-5(6)4-2/h5H,3-4H2,1-2H3",-366.1,-366.1,367.4,375.2405,5,11,0,0,0,0,1,0,0,0,0,0,0,0,0,86.8831,-79.052,0.058,3.369,7.514,12.415,17.964,24.065,30.634,37.598,44.899,52.486,60.316,68.355,76.572,0.193,9.659,18.876,27.791,36.334,44.473,52.205,59.539,66.496,73.095,79.362,85.318,90.986,-224.968988,-224.019582,-175.223828,-124.39382,-72.309428,-19.482314,33.756688,87.19021,140.66912,194.089612,247.39496,300.533272,353.498264,406.26174
C1CNNS1,2933,90.144,C2H6N2S,"1,2,3-thiadiazolidine","InChI=1S/C2H6N2S/c1-2-5-4-3-1/h3-4H,1-2H2",131.7,131.7,311.5,311.5,2,6,0,0,0,0,0,0,0,2,0,0,1,0,0,73.0073,36.198,0.039,2.283,5.096,8.4,12.111,16.159,20.488,25.053,29.817,34.747,39.819,45.011,50.306,0.13,6.542,12.799,18.81,24.523,29.924,35.02,39.828,44.366,48.655,52.714,56.561,60.214,225.77413,226.4065,259.158916,294.05037,330.10212,366.820382,403.917164,442.3026,485.6595,528.926392,572.05238,615.032844,657.855608,700.5128
C1NCNS1,2934,90.144,C2H6N2S,"1,2,4-thiadiazolidine","InChI=1S/C2H6N2S/c1-3-2-5-4-1/h3-4H,1-2H2",64.96,64.96,308.1,308.1,2,6,0,0,0,0,0,0,0,2,0,0,1,0,0,72.0452,19.662,0.039,2.286,5.105,8.415,12.129,16.181,20.512,25.078,29.842,34.772,39.843,45.035,50.33,0.13,6.552,12.822,18.843,24.562,29.967,35.066,39.875,44.413,48.702,52.761,56.608,60.26,160.04733,160.6865,193.774736,228.99992,265.382056,302.421508,339.845332,378.549868,422.22754,465.814786,509.261128,552.557766,595.700884,638.6847
NC(NC)=S,2935,90.144,C2H6N2S,1-methylthiourea,"InChI=1S/C2H6N2S/c1-4-2(3)5/h1H3,(H3,3,4,5)",23.82,23.82,346.9,346.9,2,6,0,0,0,0,0,0,0,2,0,0,1,0,0,83.0006,9.461,0.047,2.683,5.772,9.262,13.099,17.233,21.623,26.23,31.023,35.975,41.063,46.267,51.571,0.16,7.708,14.584,20.937,26.845,32.362,37.529,42.381,46.948,51.256,55.328,59.184,62.843,107.34493,107.90232,136.841364,167.5654,199.250764,231.49605,264.053812,297.868042,336.62782,375.275436,413.778804,452.128288,490.315892,528.33667
S=C(CN)N,2936,90.144,C2H6N2S,2-aminoethanethioamide,"InChI=1S/C2H6N2S/c3-1-2(4)5/h1,3H2,(H2,4,5)",43.96,43.96,333.6,333.6,2,6,0,0,0,0,0,0,0,2,0,0,1,0,0,79.273,14.455,0.046,2.584,5.604,9.046,12.846,16.952,21.319,25.907,30.683,35.621,40.696,45.889,51.183,0.152,7.418,14.14,20.403,26.255,31.734,36.874,41.706,46.257,50.553,54.614,58.462,62.114,131.44833,132.038172,162.372424,194.58112,227.807156,261.61485,295.759264,331.171432,371.53918,411.801454,451.925332,491.904104,531.720996,571.37566
[N@H]=C(N)CS,2937,90.144,C2H6N2S,2-mercaptoacetimidamide,"InChI=1S/C2H6N2S/c3-2(4)1-5/h5H,1H2,(H3,3,4)",41.95,41.95,339.5,339.5,2,6,0,0,0,0,0,0,0,2,0,0,1,0,0,80.9219,13.926,0.048,2.735,5.908,9.486,13.406,17.614,22.068,26.732,31.574,36.569,41.695,46.932,52.266,0.161,7.856,14.917,21.431,27.467,33.082,38.326,43.237,47.852,52.197,56.299,60.18,63.859,127.68013,128.255246,157.901268,189.26791,221.518132,254.269338,287.288712,321.519828,360.6781,399.692024,438.551668,477.243634,515.757,554.10145
CSC(N)=N,2939,90.144,C2H6N2S,methyl carbamimidothioate,"InChI=1S/C2H6N2S/c1-5-2(3)4/h1H3,(H3,3,4)",42.29,42.29,341.7,341.7,2,6,0,0,0,0,0,0,0,2,0,0,1,0,0,81.5566,14.036,0.05,2.796,6.007,9.61,13.545,17.763,22.222,26.889,31.732,36.727,41.852,47.088,52.42,0.166,8.032,15.179,21.738,27.798,33.426,38.676,43.591,48.206,52.551,56.652,60.532,64.21,127.36453,127.937336,157.321976,188.37415,220.286496,252.681852,285.341196,319.206848,357.99464,396.644772,435.136444,473.461692,511.609176,549.5844
C1C(=S)S1,2941,90.158,C2H2S2,thiirane-2-thione,InChI=1S/C2H2S2/c3-2-1-4-2/h1H2,206.2,206.2,287.9,287.9,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,69.3527,57.693,0.031,1.739,3.699,5.856,8.169,10.607,13.147,15.771,18.466,21.219,24.022,26.867,29.748,0.104,4.998,9.362,13.291,16.854,20.108,23.098,25.862,28.43,30.825,33.069,35.177,37.164,181.874856,181.710964,174.128564,168.46174,163.782652,159.752416,156.188108,155.145884,164.13962,173.13194,182.11022,191.070214,200.018856,208.95636
F[Si]1(CC1)C,2942,90.1724,C3H7FSi,1-fluoro-1-methylsilirane,"InChI=1S/C3H7FSi/c1-5(4)2-3-5/h2-3H2,1H3",-461,-461,332,332,3,7,0,0,0,0,1,0,0,0,0,0,0,0,1,80.3408,-106.222,0.051,2.922,6.368,10.287,14.595,19.227,24.13,29.263,34.592,40.087,45.724,51.483,57.346,0.17,8.386,16.054,23.188,29.822,36.002,41.774,47.181,52.258,57.039,61.55,65.817,69.862,-382.681279,-382.15455,-355.061032,-326.85187,-297.987844,-268.740472,-239.286528,-209.742138,-180.18324,-150.650774,-121.191164,-91.80833,-62.516344,-33.32821
SCC(C)C,2943,90.184,C4H10S,2-methylpropane-1-thiol,"InChI=1S/C4H10S/c1-4(2)3-5/h4-5H,3H2,1-2H3",-96.66,-96.79005,353.9,364.798,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,83.4402,-21.056,0.055,3.186,7.028,11.498,16.505,21.97,27.824,34.01,40.479,47.189,54.105,61.198,68.443,0.184,9.142,17.687,25.821,33.53,40.82,47.712,54.226,60.39,66.227,71.762,77.018,82.015,5.608114,6.296114,42.022806,80.21766,119.811722,160.25157,201.19527,243.496826,290.81707,338.04905,385.145338,432.075542,478.824254,525.38714
SC(C)(C)C,2944,90.184,C4H10S,2-methylpropane-2-thiol,"InChI=1S/C4H10S/c1-4(2,3)5/h5H,1-3H3",-107.7,-109.290896,359.6,339.638,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,84.9562,-25.914,0.058,3.323,7.273,11.828,16.9,22.416,28.311,34.531,41.027,47.759,54.695,61.804,69.063,0.194,9.539,18.326,26.614,34.424,41.784,48.723,55.273,61.463,67.32,72.87,78.138,83.145,0.604948,1.343268,39.494836,79.985404,121.797432,164.39798,207.463088,251.872258,301.277544,350.58119,399.736604,448.728024,497.526248,546.132794
SCCCC,2945,90.184,C4H10S,butane-1-thiol,"InChI=1S/C4H10S/c1-2-3-4-5/h5H,2-4H2,1H3",-95.22,-88.07385333,373.3,377.208,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,88.6138,-20.803,0.053,3.093,6.857,11.264,16.22,21.643,27.463,33.621,40.066,46.756,53.655,60.733,67.965,0.178,8.874,17.244,25.261,32.891,40.126,46.977,53.462,59.603,65.423,70.944,76.189,81.177,10.62613067,11.28847467,45.83435867,82.93994667,121.5082787,160.9591807,200.9373427,242.3001127,288.6907667,335.0065327,381.1924587,427.2227507,473.0740587,518.7445567
SC(CC)C,2946,90.184,C4H10S,butane-2-thiol,"InChI=1S/C4H10S/c1-3-4(2)5/h4-5H,3H2,1-2H3",-93.31,-96.45582,357.1,368.818,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,84.2853,-22.755,0.055,3.186,7.021,11.483,16.482,21.939,27.787,33.967,40.432,47.138,54.051,61.141,68.383,0.185,9.142,17.671,25.79,33.486,40.767,47.65,54.159,60.318,66.152,71.684,76.938,81.934,4.744384,5.42309,40.749036,78.54607,117.749,157.804404,198.361152,240.29164,287.23162,334.095876,380.818588,427.381904,473.760384,519.94844
CCSCC,2947,90.184,C4H10S,diethylsulfane,"InChI=1S/C4H10S/c1-3-5-4-2/h3-4H2,1-2H3",-83.29,-83.2797375,360.3,370.158,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,85.16,-18.332,0.055,3.168,6.984,11.43,16.415,21.86,27.696,33.866,40.321,47.018,53.923,61.005,68.241,0.184,9.089,17.577,25.667,33.341,40.605,47.475,53.973,60.123,65.949,71.475,76.723,81.714,17.5211465,18.1984265,53.4024945,91.0939525,130.2080265,170.1866965,210.6767425,252.5396925,299.4230025,346.2305885,392.9033185,439.4166525,485.7501665,531.9003625
CSC(C)C,2948,90.184,C4H10S,isopropyl(methyl)sulfane,"InChI=1S/C4H10S/c1-4(2)5-3/h4H,1-3H3",-90.03,-89.986365,363.5,365.528,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,85.9984,-19.854,0.056,3.247,7.134,11.637,16.67,22.153,28.021,34.217,40.694,47.411,54.332,61.428,68.676,0.189,9.32,17.965,26.16,33.908,41.223,48.131,54.657,60.828,66.67,72.209,77.467,82.467,12.194259,12.878709,48.491855,86.518405,125.908215,166.127927,206.832263,248.890693,295.954435,342.934511,389.778895,436.450089,482.939791,529.235725
CSCCC,2949,90.184,C4H10S,methyl(propyl)sulfane,"InChI=1S/C4H10S/c1-3-4-5-2/h3-4H2,1-2H3",-82,-82.06330667,365.9,373.818,4,10,0,0,0,0,0,0,0,0,0,0,1,0,0,86.6383,-17.833,0.055,3.179,7.011,11.472,16.472,21.929,27.777,33.957,40.42,47.125,54.036,61.124,68.365,0.184,9.12,17.643,25.76,33.458,40.739,47.622,54.131,60.289,66.121,71.652,76.904,81.899,17.64689733,18.31685733,53.14907333,90.45530333,129.1707733,168.7370453,208.8054973,250.2476893,296.6993733,343.0715713,389.3122573,435.3856053,481.2808053,526.9851633
C[Si](C)(O)C,2950,90.197,C3H10OSi,trimethylsilanol,"InChI=1S/C3H10OSi/c1-5(2,3)4/h4H,1-3H3",-498.3,-499.72748,377.3,377.3,3,10,0,0,0,0,0,0,0,0,1,0,0,0,1,91.1113,-110.174,0.066,3.767,8.124,13.033,18.405,24.173,30.28,36.679,43.329,50.195,57.246,64.456,71.804,0.223,10.818,20.517,29.453,37.726,45.422,52.611,59.351,65.688,71.66,77.303,82.646,87.715,-376.142857,-375.315292,-332.898016,-289.21894,-244.825964,-200.058556,-155.130608,-110.180912,-65.30594,-20.564184,24.01576,68.403698,112.593108,156.58119
OC(C#C)Cl,2951,90.506,C3H3ClO,1-chloroprop-2-yn-1-ol,"InChI=1S/C3H3ClO/c1-2-3(4)5/h1,3,5H",-3.761,-3.761,311.1,311.1,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,74.2227,-1.822,0.04,2.24,4.773,7.573,10.587,13.781,17.123,20.593,24.171,27.84,31.588,35.403,39.276,0.134,6.437,12.078,17.175,21.819,26.08,30.016,33.671,37.08,40.272,43.271,46.098,48.77,30.882394,31.114664,42.977036,55.16112,67.54244,80.035116,92.60456,105.196898,117.80146,130.39934,142.969948,155.515526,168.024444,180.49478
ClCC1=CO1,2952,90.506,C3H3ClO,2-(chloromethyl)oxirene,"InChI=1S/C3H3ClO/c4-1-3-2-5-3/h2H,1H2",144,144,321.9,321.9,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,77.2573,34.351,0.038,2.177,4.663,7.432,10.431,13.621,16.967,20.446,24.035,27.718,31.48,35.309,39.197,0.13,6.257,11.79,16.832,21.451,25.707,29.648,33.311,36.732,39.935,42.946,45.784,48.466,175.424994,175.63232,186.455656,197.66424,209.094304,220.660804,232.304072,243.970234,255.6528,267.311964,278.95138,290.551136,302.110052,313.63164
ClC(O1)=C1C,2953,90.506,C3H3ClO,2-chloro-3-methyloxirene,InChI=1S/C3H3ClO/c1-2-3(4)5-2/h1H3,101.8,101.8,325,325,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,78.1338,23.741,0.04,2.258,4.795,7.603,10.635,13.852,17.224,20.726,24.337,28.039,31.819,35.664,39.566,0.136,6.491,12.142,17.254,21.923,26.217,30.188,33.876,37.317,40.537,43.562,46.412,49.104,132.301194,132.503156,142.962988,153.73032,164.690708,175.762452,186.884212,198.023014,209.1615,220.274494,231.353528,242.390812,253.378896,264.3238
O=CC(Cl)=C,2954,90.506,C3H3ClO,2-chloroacrylaldehyde,"InChI=1S/C3H3ClO/c1-3(4)2-5/h2H,1H2",-96.96,-96.96,307.9,307.9,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,73.3248,-23.553,0.038,2.12,4.539,7.243,10.182,13.319,16.621,20.061,23.618,27.273,31.011,34.82,38.689,0.126,6.091,11.478,16.399,20.926,25.112,28.999,32.623,36.012,39.192,42.183,45.006,47.675,-61.363006,-61.122664,-48.865052,-36.162,-23.169752,-10.003866,3.271392,16.605492,29.95934,43.319464,56.658168,69.976858,83.258888,96.50777
O=CC=CCl,2955,90.506,C3H3ClO,3-chloroacrylaldehyde,InChI=1S/C3H3ClO/c4-2-1-3-5/h1-3H,-89.74,-89.74,308.6,308.6,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,73.5046,-21.91,0.037,2.082,4.462,7.129,10.038,13.149,16.43,19.852,23.394,27.036,30.762,34.561,38.422,0.125,5.984,11.281,16.136,20.616,24.768,28.63,32.235,35.609,38.778,41.76,44.575,47.238,-54.351606,-54.11559,-41.904988,-29.20213,-16.186668,-2.968726,10.371128,23.78529,37.22756,50.686138,64.124132,77.54462,90.93848,104.3017
OC(C#CCl),2956,90.506,C3H3ClO,3-chloroprop-2-yn-1-ol,"InChI=1S/C3H3ClO/c4-2-1-3-5/h5H,3H2",57.31,57.31,325.6,325.6,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,78.2882,12.823,0.04,2.235,4.733,7.489,10.461,13.616,16.925,20.367,23.92,27.569,31.299,35.098,38.958,0.136,6.427,11.989,17.007,21.585,25.795,29.692,33.316,36.702,39.876,42.861,45.677,48.34,87.632394,87.833156,98.243856,109.00093,119.983664,131.11412,142.3389,153.609146,164.91168,176.209204,187.494504,198.756446,209.984236,221.18264
ClCC1CC1,2957,90.55,C4H7Cl,(chloromethyl)cyclopropane,"InChI=1S/C4H7Cl/c5-3-4-1-2-4/h4H,1-3H2",3.392,3.392,319.7,319.7,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,76.6433,-1.792,0.042,2.463,5.505,9.081,13.101,17.489,22.185,27.141,32.317,37.679,43.198,48.853,54.624,0.14,7.059,13.824,20.331,26.518,32.373,37.901,43.121,48.052,52.716,57.134,61.324,65.305,84.501491,85.04685,113.221492,142.73249,173.057532,203.882262,234.978908,266.223938,297.5206,328.814464,360.054564,391.211684,422.286592,453.25847
ClC1(CC1)C,2958,90.55,C4H7Cl,1-chloro-1-methylcyclopropane,"InChI=1S/C4H7Cl/c1-4(5)2-3-4/h2-3H2,1H3",-7.315,-7.315,311.7,311.7,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,74.4576,-4.861,0.045,2.608,5.771,9.445,13.543,17.995,22.744,27.744,32.958,38.352,43.899,49.579,55.371,0.15,7.479,14.514,21.199,27.508,33.448,39.039,44.305,49.273,53.965,58.405,62.613,66.609,76.178491,76.73985,105.618352,135.69527,166.495108,197.726082,229.192188,260.772402,292.38502,323.972686,355.49572,386.92825,418.271044,449.49785
CC1CC1Cl,2959,90.55,C4H7Cl,1-chloro-2-methylcyclopropane,"InChI=1S/C4H7Cl/c1-3-2-4(3)5/h3-4H,2H2,1H3",3.533,3.533,317.1,317.1,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,75.9195,-1.762,0.044,2.546,5.646,9.264,13.314,17.725,22.441,27.413,32.601,37.974,43.503,49.167,54.945,0.146,7.3,14.195,20.777,27.012,32.899,38.449,43.686,48.629,53.303,57.728,61.925,65.911,85.417291,85.968686,114.34648,143.98748,174.404904,205.288158,236.427444,267.713442,299.03686,330.349538,361.604272,392.779788,423.86306,454.84163
ClC=C(C)C,2960,90.55,C4H7Cl,1-chloro-2-methylprop-1-ene,"InChI=1S/C4H7Cl/c1-4(2)3-5/h3H,1-2H3",-34.25,-34.2,331.6,336.334,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,79.9062,-14.373,0.047,2.688,5.874,9.54,13.617,18.043,22.767,27.743,32.933,38.307,43.836,49.499,55.277,0.157,7.716,14.803,21.475,27.752,33.658,39.218,44.458,49.404,54.079,58.504,62.7,66.686,41.952559,42.464232,68.817888,96.3198,124.5346,153.192658,182.098388,211.139544,240.2223,269.283448,298.289996,327.217744,356.05492,384.78614
CCC=CCl,2961,90.55,C4H7Cl,1-chlorobut-1-ene,"InChI=1S/C4H7Cl/c1-2-3-4-5/h3-4H,2H2,1H3",-24.36,-24.41,335,340.494,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,80.8449,-9.18,0.045,2.625,5.755,9.376,13.416,17.812,22.51,27.464,32.637,37.994,43.51,49.16,54.927,0.153,7.536,14.499,21.087,27.307,33.172,38.703,43.92,48.849,53.509,57.923,62.11,66.089,50.502879,51.002888,76.981508,104.16774,132.116184,160.532548,189.219992,218.048714,246.93492,275.812058,304.638776,333.394218,362.05658,390.61633
CC=CCCl,2962,90.55,C4H7Cl,1-chlorobut-2-ene,"InChI=1S/C4H7Cl/c1-2-3-4-5/h2-3H,4H2,1H3",-36.88,-36.89,338.7,340.494,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,81.8418,-11.917,0.046,2.627,5.761,9.385,13.429,17.828,22.53,27.487,32.662,38.023,43.541,49.194,54.963,0.153,7.54,14.511,21.106,27.332,33.201,38.736,43.957,48.888,53.551,57.967,62.156,66.135,38.022879,38.527068,64.50318,91.68774,119.626152,148.033738,176.709896,205.528168,234.3964,263.257236,292.069324,320.804702,349.449508,377.99839
CCC(Cl)=C,2963,90.55,C4H7Cl,2-chlorobut-1-ene,"InChI=1S/C4H7Cl/c1-3-4(2)5/h2-3H2,1H3",-35.93,-27.645,330.6,338.314,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,79.6183,-12.754,0.047,2.656,5.822,9.475,13.543,17.961,22.678,27.648,32.833,38.202,43.727,49.386,55.16,0.154,7.621,14.665,21.313,27.575,33.47,39.023,44.257,49.197,53.868,58.289,62.482,66.466,47.917519,48.428994,74.605968,101.95586,130.036196,158.57024,187.3553,216.274114,245.24038,274.194234,303.088472,331.911434,360.641316,389.26148
CC=C(C)Cl,2964,90.55,C4H7Cl,2-chlorobut-2-ene,"InChI=1S/C4H7Cl/c1-3-4(2)5/h3H,1-2H3",-35.52,-34.2,340.5,336.334,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,82.3343,-16.082,0.048,2.707,5.901,9.569,13.646,18.072,22.793,27.767,32.956,38.328,43.857,49.518,55.295,0.159,7.773,14.878,21.554,27.832,33.736,39.294,44.533,49.477,54.15,58.574,62.769,66.754,41.952559,42.465904,68.802004,96.27591,124.457688,153.079798,181.958776,210.962312,240.00912,269.043934,298.02164,326.925144,355.730552,384.43502
C=C(CCl)C,2965,90.55,C4H7Cl,3-chloro-2-methylprop-1-ene,"InChI=1S/C4H7Cl/c1-4(2)3-5/h1,3H2,2H3",-36.42,-25.99,331.1,338.314,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,79.7649,-12.247,0.046,2.655,5.827,9.487,13.562,17.989,22.713,27.689,32.881,38.255,43.785,49.449,55.227,0.154,7.619,14.674,21.335,27.61,33.516,39.076,44.318,49.264,53.939,58.365,62.562,66.548,49.572519,50.079814,76.260132,103.61295,131.68618,160.20225,188.973516,217.876028,246.81178,275.741808,304.608876,333.39589,362.091496,390.6824
CC(C=C)Cl,2966,90.55,C4H7Cl,3-chlorobut-1-ene,"InChI=1S/C4H7Cl/c1-3-4(2)5/h3-4H,1H2,2H3",-34.17,-33.545,326.9,332.954,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,78.6072,-11.322,0.046,2.656,5.82,9.47,13.535,17.952,22.667,27.635,32.819,38.186,43.71,49.368,55.141,0.155,7.624,14.662,21.306,27.564,33.457,39.007,44.24,49.179,53.848,58.269,62.461,66.444,43.614799,44.13156,70.844952,98.73377,127.348852,156.420986,185.749152,215.212326,244.7171,274.214478,303.653912,333.017054,362.292968,391.46
ClCCC=C,2967,90.55,C4H7Cl,4-chlorobut-1-ene,"InChI=1S/C4H7Cl/c1-2-3-4-5/h2H,1,3-4H2",-16.22,-16.2,335.4,342.474,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,80.9493,-7.398,0.045,2.577,5.68,9.285,13.314,17.704,22.397,27.348,32.518,37.874,43.388,49.038,54.803,0.149,7.393,14.295,20.854,27.059,32.915,38.439,43.654,48.58,53.239,57.652,61.838,65.815,58.122839,58.623904,84.437964,111.5006,139.342168,167.655836,196.25396,224.997542,253.79192,282.5835,311.325496,339.992872,368.576364,397.05599
ClC1CCC1,2968,90.55,C4H7Cl,chlorocyclobutane,"InChI=1S/C4H7Cl/c5-4-2-1-3-4/h4H,1-3H2",-36.38,-36.38,306.9,306.9,4,7,0,0,0,1,0,0,0,0,0,0,0,0,0,73.143,-12.379,0.04,2.372,5.351,8.883,12.872,17.239,21.92,26.866,32.034,37.389,42.905,48.556,54.324,0.133,6.795,13.417,19.843,25.984,31.81,37.321,42.529,47.453,52.112,56.526,60.714,64.693,48.543891,49.115268,78.63052,109.5674,141.361796,173.675526,206.28458,239.046198,271.87366,304.693726,337.460028,370.158816,402.762852,435.26971
[O-][N+](=O)C(=O)O,2970,91.022,CHNO4,nitroformic acid,"InChI=1S/CHNO4/c3-1(4)2(5)6/h(H,3,4)",-379.5,-379.5,318.8,318.8,1,1,0,0,0,0,0,0,0,1,4,0,0,0,0,74.7147,-81.108,0.039,2.174,4.595,7.243,10.073,13.05,16.146,19.339,22.612,25.949,29.341,32.778,36.254,0.131,6.251,11.642,16.464,20.824,24.797,28.443,31.806,34.925,37.828,40.543,43.09,45.488,-302.503207,-301.986404,-275.976952,-249.81118,-223.642572,-197.541184,-171.532768,-145.647486,-119.87856,-94.23454,-68.712628,-43.310032,-18.01984,7.15896
